i,j,i_text,j_text,similarity
49,923,I am a physician and this book was a great read. It is one man's personal perspective into his own disease and his pontification on the health care system. Highly recommend. It is a non-scientific book and easy to read.,"This book was very easy to read and insightful into a very misunderstood religion. While reading it, one feels very close to the rituals and traditions.",0.2926829268292683
150,868,"This book is very interesting and you will not want to put it down once you start reading it. Also the figuring out who the killer is, iz fun!","This book is extremely interesting but it is also very factual so you have to read it carefully. I couldn't put it down, Vronsky's amount of in-depth research is admirable. So worth reading.",0.2926829268292683
315,897,"Excellent book the information is great, if you want a book to help you with information that you were not aware of, this is the book. I now know what I should do to start self-publishing my book and my daughter's books.","This little, and I mean little, book is packed with good history and great information. If you are traveling to Latvia it is a great resource!",0.2926829268292683
568,585,"This book really helped me understand myself better, and I know it has strengthened my current relationship too.",This book has helped me to calm my thinking and try and live life better instead of worrying ab it all the time!,0.2903225806451613
150,349,"This book is very interesting and you will not want to put it down once you start reading it. Also the figuring out who the killer is, iz fun!","This is a book that you will not want to put down!! Wonderful, sitting on the edge book! Feels like you are sitting beside Chris in the courtroom.",0.2894736842105263
225,446,You can't go wrong with this book. This is the great one that started it all for this genre. This was a 're-read' for me...and I wanted it on my Kindle.,My son and I had a great time with this book! I thought it was even better than the first.,0.2857142857142857
543,839,Great Price with Excellent and Timely Service; a Brand New Earlier Printing of the Book (published 2004); I was Completely Satisfied Reading this Book!,I received this book in the exact condition in which it was stated to be - excellent. And I received it in a very timely matter. I was very pleased with this purchase.,0.2857142857142857
851,991,"This is one of the best books I have ever read, and I will continue to be very grateful that I was able to get It as easily as I did.","To me, this is one of Linda Fairstein's best and I have enjoyed all her books about Alex Cooper. Plainly, I just could not put down this book! Read it, I think you will like it too.",0.2826086956521739
130,430,"I love it!! it came much faster than I expected and in better condition than what was described.I would definitely be a repeat customer, with confidence!",The book was in good condition and it proved to be a valid transaction. I would recommend the seller.,0.28125
446,543,My son and I had a great time with this book! I thought it was even better than the first.,Great Price with Excellent and Timely Service; a Brand New Earlier Printing of the Book (published 2004); I was Completely Satisfied Reading this Book!,0.28125
294,822,Holes is a cool book. It's very interesting to read because there's lots of cool characters and they are the best.,"Not the best book of it's type, but worth a quick read.",0.28
294,703,Holes is a cool book. It's very interesting to read because there's lots of cool characters and they are the best.,Even listening to them out of order they are still very good books. It is nice to 'get to know' the characters and all their interactions. Makes for a more interesting book if you are already aware of the players.,0.27906976744186046
105,530,I recommend this book because it deals with family problems that can relate to you. I think in reading this book it will help you relate with your family.,It was so good I read it 3 times. I recomend this book to anyone who has ever been sexually abused. It can help you work through your problems.,0.2777777777777778
331,851,"Let's just say that I have to keep buying new copies of his books because I lend them out and no one ever returns them after they read them. But I don't mind, because Naked is honestly one of the best books I have ever had the pleasure to enjoy. Get all of his books and then treat yourself to the audio versions as well. You won't be able to get enough of Mr. Sedaris.","This is one of the best books I have ever read, and I will continue to be very grateful that I was able to get It as easily as I did.",0.27419354838709675
23,977,I received the book in a reasonable time. The item is as it is described. I would recommend buying this book.,I received the book in good condition and in a timely manner,0.2727272727272727
26,851,I have a huge library of computer programming books and this is by far the best that I have. Evrything is very well explained. The only short coming is that it does not go into X-lib programming.,"This is one of the best books I have ever read, and I will continue to be very grateful that I was able to get It as easily as I did.",0.2727272727272727
288,430,"A classic, terrific story, I would recommend it to anyone!",The book was in good condition and it proved to be a valid transaction. I would recommend the seller.,0.2727272727272727
446,839,My son and I had a great time with this book! I thought it was even better than the first.,I received this book in the exact condition in which it was stated to be - excellent. And I received it in a very timely matter. I was very pleased with this purchase.,0.2727272727272727
458,778,"Historically, this is one of the best narratives that I have read about the US Navy SeaLab project. I would highly recommend this book to anyone with an interest in naval history or specifically the SeaLab projects.",One of the best books i have ever read if not the best an amazing story i would reccomend this book to kids and adults of all ages,0.2727272727272727
543,549,Great Price with Excellent and Timely Service; a Brand New Earlier Printing of the Book (published 2004); I was Completely Satisfied Reading this Book!,"My kids and I enjoyed reading this book together! I will buy the rest of the series! Truly a great, classic story!",0.2727272727272727
139,830,I have just read this book for an oral book report in my english class. We all got to pick our own book off of a list and the title just grabbed me. I thought this book was great! It was a quick read but it was really dramatic and it even had alittle humor mixed in. Such as the first scene...I found that humorous. I recommend this book to anyone!,"Never read this in high school, so I thought I'd read it with my daughter as she read it for her high school english class. I told my daughter that I would read it at the same pace as her class, but I found I couldn't put it down and had to speed ahead of their slow pace. What were my teachers thinking to have left this off the list? A beautiful piece of literary fiction with meaningful metaphors and lessons on tolerance that we could all still benefit from today.",0.2717391304347826
264,658,"It is worth reading, if you have not read the book you definitely should even if you are not in school which I am it still has great aspects in it.","If you are a girl who have older brothers, and you need your questions answerd then you should read this book. Even if you do not have older brothers you should read it!",0.2702702702702703
585,857,This book has helped me to calm my thinking and try and live life better instead of worrying ab it all the time!,My Grandson has had to repeat his 10th grade english class and this is the book required by the state of Ut. It has helped him greatly.,0.2702702702702703
185,391,"I was of a mind to think that influence was somewhat to do with merit, but that is only a part of it, this book shows you how to communicate better and to use better dialogue in doing so.",I had some difficulty understanding this book but finished it in awe of the man. He was doing his work with his mind alone and did not have even one physical thing to use as proof.,0.2692307692307692
167,851,"I enjoyed the book very much, and it had a good flow to it. It was very easy to read. The message was one that can never get old, but it was a touch ""sappy"".","This is one of the best books I have ever read, and I will continue to be very grateful that I was able to get It as easily as I did.",0.2682926829268293
417,713,I liked this book because it is easy to understand and it has pictures. I recommend it to readers that like pictures.,I bought this book because I used my sisters copy. What a great and helpful program! I recommend it to anyone. It cost a little to get started the first time around but is easy every time you detox after that!,0.2682926829268293
79,932,I have never read a book that has interested me until now! I can't believe how brilliant the stories have been in the last 2 books I have read. It was my friends at work who told me that I would really enjoy it. I cant wait to read the 3rd book.,"I really liked this book. ""Lord of The Flies"" is one of the best books I have ever read. I really liked how it was written. It kept me interested in it all the way. I loved the action in the book. I'm glad that Ralph made it at the end.",0.26785714285714285
23,983,I received the book in a reasonable time. The item is as it is described. I would recommend buying this book.,Mrs Moning is one the best authors of time travel romance I have coma across in a while. This book is a keeper.,0.26666666666666666
105,417,I recommend this book because it deals with family problems that can relate to you. I think in reading this book it will help you relate with your family.,I liked this book because it is easy to understand and it has pictures. I recommend it to readers that like pictures.,0.26666666666666666
772,982,"The book arrived in a resonable amount of time and was in excellent condiiton, just as promised.",This volume is a valuable read for nurses who are researching vocational issues of the profession.The book arrived ingood time and in excellent condition.Thank you again Amazon,0.2647058823529412
153,532,This was one of the cutest books I had ever read. It was educational and quite interesting. It was full of those things that you are curious about but too embarrassed to ask. I have really enjoyed it and have recommended it to several people.,I have enjoyed all of Grisham's books (and have read them all) except this one. The plot was predictable and uninteresting. This book tells me that all homeless people are saints and victims of greedy rich people. It was one big sob story. What a boring disappointment!!!,0.2631578947368421
185,886,"I was of a mind to think that influence was somewhat to do with merit, but that is only a part of it, this book shows you how to communicate better and to use better dialogue in doing so.","I love this series, but the Kindle version is so fraught with typos that it is somewhat painful to read. They need to do a better print to digital conversion and then proofread it! You should be ashamed to make libraries and the public purchase these at a premium.",0.2631578947368421
229,839,"I had bought this item as a gift, and the person was very delighted with it. So was I; the book is out of print, so I was pleased to find it here. It was just as described and arrived quickly. Great experience all the way around!",I received this book in the exact condition in which it was stated to be - excellent. And I received it in a very timely matter. I was very pleased with this purchase.,0.2608695652173913
394,790,"I had to read this book for school and it was very short. It had feeling but it was a really dumb idea. Yes, things do die and it is always sad but there have been so many books like this one I am kind of sick of it.","This book would have been so much fun if I hadn't watched the Airplane comedies prior to reading it. Yes, it was one of the foundations for the infamous movies. The book is dated but is still a lot of fun to read. Hailey has a way of describing the action and the actors in a gripping, edge of your seat manner. A fun, quick, and easy read.",0.2608695652173913
822,841,"Not the best book of it's type, but worth a quick read.",Read this same book about 20 years ago. Its a shame its not a longer story line. Its good book for a quick read.,0.2608695652173913
639,851,I really enjoyed this book. I think it's the best one since Piercing the Darkness and This Present Darkness. It was just a story that I couldn't wait to continue reading. Can't really say enough about it except I hope you enjoy it as much as I did.,"This is one of the best books I have ever read, and I will continue to be very grateful that I was able to get It as easily as I did.",0.26
153,991,This was one of the cutest books I had ever read. It was educational and quite interesting. It was full of those things that you are curious about but too embarrassed to ask. I have really enjoyed it and have recommended it to several people.,"To me, this is one of Linda Fairstein's best and I have enjoyed all her books about Alex Cooper. Plainly, I just could not put down this book! Read it, I think you will like it too.",0.25925925925925924
161,258,"Of course, I love everything of Susan Isaacs! I enjoyed this book a lot and can always recommend this author.",I enjoyed this book when I read it a couple of years ago and it is still ok I guess.,0.25925925925925924
355,851,"This is the best book I have read on basis of Judaism without negativity or judgment. It is very easy to ready and a great intro book for people who wish to learn about basics or as a refresher. Pair it with the Telushkin ""Jewish Literacy"" to get more details.","This is one of the best books I have ever read, and I will continue to be very grateful that I was able to get It as easily as I did.",0.25925925925925924
851,939,"This is one of the best books I have ever read, and I will continue to be very grateful that I was able to get It as easily as I did.","I found this book to be informative, easy to read and very witty. So many of the books on sex are written in a manner that makes the layman feel stupid. This book is written with a style that makes the subject understandable and non-threatening. I will definitely recommend it to my clients and friends.",0.25925925925925924
153,394,This was one of the cutest books I had ever read. It was educational and quite interesting. It was full of those things that you are curious about but too embarrassed to ask. I have really enjoyed it and have recommended it to several people.,"I had to read this book for school and it was very short. It had feeling but it was a really dumb idea. Yes, things do die and it is always sad but there have been so many books like this one I am kind of sick of it.",0.25862068965517243
187,851,This is the best book I have ever read. It shows everthing that the human emotions can feal. I tshows what kind of world we live in and opens our minds to what is around us. no other book can make you intouch with you emotions such as this book can. It was well writen and deserves all the praise this world can give it.,"This is one of the best books I have ever read, and I will continue to be very grateful that I was able to get It as easily as I did.",0.25862068965517243
147,342,"I found this book to have a lot of info in it and you can pass the exam with only this book. I found it very long, just under 1000 pages, so it will take a while to get through it. I recommend using more than one study guide though to see different presentations of practice questions.","The Praxis Study guide for Music Content was a helpful source. I am taking the Praxis test tomorrow morning so we'll see if I actually pass or not. The practice test was shorter than the actual test and I have heard the questions on the practice test are much easier than on the actual exam. The book listed all of the topics that could be on the test, but the sheer amount was overwhelming and very little can be done to ""cram"" with this book. It does help some, and gives you a better understanding of what the test could be like.",0.25842696629213485
394,668,"I had to read this book for school and it was very short. It had feeling but it was a really dumb idea. Yes, things do die and it is always sad but there have been so many books like this one I am kind of sick of it.",I am a student from secondary school. I picked up this book since i have to do a book report for my holidays. It is really good and excellent...i wrote more than 800 words for my report.The book is so amazing and...Just read it and feel it! You will get an inspiration from it!,0.25806451612903225
446,549,My son and I had a great time with this book! I thought it was even better than the first.,"My kids and I enjoyed reading this book together! I will buy the rest of the series! Truly a great, classic story!",0.25806451612903225
167,430,"I enjoyed the book very much, and it had a good flow to it. It was very easy to read. The message was one that can never get old, but it was a touch ""sappy"".",The book was in good condition and it proved to be a valid transaction. I would recommend the seller.,0.2571428571428571
549,971,"My kids and I enjoyed reading this book together! I will buy the rest of the series! Truly a great, classic story!",I really enjoyed reading this book. It answered questions that I had previously and made my belief in the meaning of the Cross and what it represents stronger.,0.2571428571428571
430,938,The book was in good condition and it proved to be a valid transaction. I would recommend the seller.,"When a friend told me about the book I was really interested in buying the book.Glad to see that Amazon had it and decided to take chance when it was notated ""Used"".When I got the book, it was in perfect condition! I was Suprised!Thanks Amazon!",0.2564102564102564
48,105,I think there is something in these CDs that anyone could relate to in someway. This book teaches you many different ways to look at things and/or how to live your life. It was very interesting.,I recommend this book because it deals with family problems that can relate to you. I think in reading this book it will help you relate with your family.,0.2558139534883721
229,446,"I had bought this item as a gift, and the person was very delighted with it. So was I; the book is out of print, so I was pleased to find it here. It was just as described and arrived quickly. Great experience all the way around!",My son and I had a great time with this book! I thought it was even better than the first.,0.2558139534883721
446,713,My son and I had a great time with this book! I thought it was even better than the first.,I bought this book because I used my sisters copy. What a great and helpful program! I recommend it to anyone. It cost a little to get started the first time around but is easy every time you detox after that!,0.2558139534883721
524,938,"It's different from others that she had written. The book was really enjoyable,a friend of mine borrowed the book from me about 5 times. And it is still in the bestsellers list in Malaysia!Gosh","When a friend told me about the book I was really interested in buying the book.Glad to see that Amazon had it and decided to take chance when it was notated ""Used"".When I got the book, it was in perfect condition! I was Suprised!Thanks Amazon!",0.2553191489361702
778,932,One of the best books i have ever read if not the best an amazing story i would reccomend this book to kids and adults of all ages,"I really liked this book. ""Lord of The Flies"" is one of the best books I have ever read. I really liked how it was written. It kept me interested in it all the way. I loved the action in the book. I'm glad that Ralph made it at the end.",0.2553191489361702
394,851,"I had to read this book for school and it was very short. It had feeling but it was a really dumb idea. Yes, things do die and it is always sad but there have been so many books like this one I am kind of sick of it.","This is one of the best books I have ever read, and I will continue to be very grateful that I was able to get It as easily as I did.",0.2549019607843137
373,520,"I thought it was a very heart-warming story by James McBride.At some point of the book,I could relate to some of the passages that the author wrote.I would recommend this book to others for a chance to understand what it was like for his mother.----ACC Student","This book was very funny. I am a 17 year old girl and loved reading this book. People can really relate to the situations in this book. I would recommend this book to anyone who enjoyed the movie The Christmas Story since it is the same author. If you like to laugh and need a good book, then this is the book for you.",0.25396825396825395
520,576,"This book was very funny. I am a 17 year old girl and loved reading this book. People can really relate to the situations in this book. I would recommend this book to anyone who enjoyed the movie The Christmas Story since it is the same author. If you like to laugh and need a good book, then this is the book for you.",This book is awsome ! I't good for all people to read . I't a good book for people who are in a funny mood . Also i'ts good for animal lovers . I'ts an all over good book . Also the names are creative . The whole book is very imaginative . I strongly suggest reading this book . by Noel Bynum,0.25396825396825395
23,839,I received the book in a reasonable time. The item is as it is described. I would recommend buying this book.,I received this book in the exact condition in which it was stated to be - excellent. And I received it in a very timely matter. I was very pleased with this purchase.,0.25
41,446,"The book kept or stayed exciting throughout the whole book ,I really liked it better than the first book made.",My son and I had a great time with this book! I thought it was even better than the first.,0.25
44,225,It was another great book just like all the other Nancy drew books i would suggest that you read them all in order just for fun.,You can't go wrong with this book. This is the great one that started it all for this genre. This was a 're-read' for me...and I wanted it on my Kindle.,0.25
114,458,This is one of my favourite books. Diana Wynne Jones is at her best with this fantasy adventure. I would recommend this to anyone who enjoys Terry Pratchett or Neil Gaimen.,"Historically, this is one of the best narratives that I have read about the US Navy SeaLab project. I would highly recommend this book to anyone with an interest in naval history or specifically the SeaLab projects.",0.25
117,225,I have my own copy of this book and purchased two for my friends. It is full of wonderful information on the food you consume to symptoms for common traveler's woes. Every world traveler should have one ... such a shame that it is out of print.,You can't go wrong with this book. This is the great one that started it all for this genre. This was a 're-read' for me...and I wanted it on my Kindle.,0.25
117,315,I have my own copy of this book and purchased two for my friends. It is full of wonderful information on the food you consume to symptoms for common traveler's woes. Every world traveler should have one ... such a shame that it is out of print.,"Excellent book the information is great, if you want a book to help you with information that you were not aware of, this is the book. I now know what I should do to start self-publishing my book and my daughter's books.",0.25
119,169,The book was delivered on time. I recommend everyone to buy from this buyer. Thank you.,I find this book confusing. The commentaries and the text are on different pages and you have to refer back and forth.,0.25
161,826,"Of course, I love everything of Susan Isaacs! I enjoyed this book a lot and can always recommend this author.",A fun and well-written story that certainly holds your interest. I would recommend this book to all who enjoyed Fifty Shades of Grey.,0.25
173,971,"I enjoyed this book as much as any of Brenda's books. It had all of the mystery, romance, and excitement that I enjoy in her books. I loved the time jumping and as always the details of the periods. I couldn't put the book down.",I really enjoyed reading this book. It answered questions that I had previously and made my belief in the meaning of the Cross and what it represents stronger.,0.25
185,551,"I was of a mind to think that influence was somewhat to do with merit, but that is only a part of it, this book shows you how to communicate better and to use better dialogue in doing so.","I only wish this book was in hardcover. It is one of my favorites. If you like vikings you will love this series. Even though I do not like paperback books, this one is a ""keeper""!",0.25
270,851,"To those of you who are wondering when Mr Manchester will release the third volume, it has in fact been written for a number of years. However due to the fact that the US and other governments are rather sensitive to the bombing of Pearl Harbour, and all of the secrets surrounding it, this third volume was never allowed to be released in America, England and I don't know where else. Very sad, as these were two of the best books I have ever read!","This is one of the best books I have ever read, and I will continue to be very grateful that I was able to get It as easily as I did.",0.25
271,556,"This book is the perfect follow up to the last two books. After the first two Harry Potter books I thought it couldn't get any better but, then came The Prisoner of Azkaban. I suggest you stick with the book because the first few chapters wont catch your I but once you get deep into the book its hard to put the book down. Rowling keeps you in suspense for at least ten chapters or more. There is alot of action ant different thing going on at one time but at the end it all comes together. You should expect the unexpected. This book keeps you guessing that is why it is hard to let go.",I highly recommend this book to anyone who has read the first two but if you have not you need to because it is one of the most well written seires i have ever read. The book starts off with frodo inside of the black gate finally but you wont get much more out of me your going to have to read it yourself. It may start slow in the first two or three chapters but after that you will not be able to put it down. So get out there and read this book.,0.25
278,977,Mears did a good job with flow and continuity. I love making contact with history I never got in the classroom.,I received the book in good condition and in a timely manner,0.25
315,551,"Excellent book the information is great, if you want a book to help you with information that you were not aware of, this is the book. I now know what I should do to start self-publishing my book and my daughter's books.","I only wish this book was in hardcover. It is one of my favorites. If you like vikings you will love this series. Even though I do not like paperback books, this one is a ""keeper""!",0.25
328,805,"I am not a marketing person and I seldom read non-fiction, but I found this book to be 1) very informative 2) easy to follow the logic 3) diverse examples of the authors point and 4) fairly well written. I found the book so interesting, I read it in 3 days.","I am not a big fan of the Contemporary Fiction - Dysfunctional Family genre of fiction, a genre that sadly dominates American literature. For me, a contemporary work in this genre needs to be exceptional to even crack a 3 rating.The Corrections is one of those exceptions. The genre is so, so tired, but the Corrections is so masterfully written, both on a level of prose and in the realistic construction of the protagonist family, that I have to give it a 4. This book is very well done.",0.25
344,370,"Decent book. Not a big fan of baseball, but it got me interested none the less. I like history and got this for a history class which compared baseball history and American history and how they influenced on another. If you like baseball or want to become more interest in it, I recommend this.","If you're a serious fan like me, especially if you do fantasy baseball, purchase this book. It is the most comprehensive text on the top prospects in baseball and a must have!I constantly refer back to it throughout the baseball season.",0.25
417,500,I liked this book because it is easy to understand and it has pictures. I recommend it to readers that like pictures.,"This book has a beautiful history of color. Color theory is also very well explained. As a graphic designer I use it often, as it has CMY charts that are very easy to use. Great book!",0.25
417,568,I liked this book because it is easy to understand and it has pictures. I recommend it to readers that like pictures.,"This book really helped me understand myself better, and I know it has strengthened my current relationship too.",0.25
417,738,I liked this book because it is easy to understand and it has pictures. I recommend it to readers that like pictures.,This cookbook lives up to the Southern Living standard. Nice photos and easy to read and understand. Would recommend it.,0.25
476,778,The story was plausible but not one of her best. Two issues were not resolved - her father and the remaining spy. I'm trying to determine if there is a book after this one that finishes the story.,One of the best books i have ever read if not the best an amazing story i would reccomend this book to kids and adults of all ages,0.25
500,897,"This book has a beautiful history of color. Color theory is also very well explained. As a graphic designer I use it often, as it has CMY charts that are very easy to use. Great book!","This little, and I mean little, book is packed with good history and great information. If you are traveling to Latvia it is a great resource!",0.25
540,851,I have many books about Sinatra and this is one of the best. Richard Havers put together a wonderful read. The book combines his music and life very well in a chronological format. There are some great pictures and sidebars about other events music and otherwise associated with the time frame you are currently reading.The research put into this gem is amazing.If you are a fan of Sinatra get this book. You won t be able to put it down!,"This is one of the best books I have ever read, and I will continue to be very grateful that I was able to get It as easily as I did.",0.25
839,923,I received this book in the exact condition in which it was stated to be - excellent. And I received it in a very timely matter. I was very pleased with this purchase.,"This book was very easy to read and insightful into a very misunderstood religion. While reading it, one feels very close to the rituals and traditions.",0.25
851,888,"This is one of the best books I have ever read, and I will continue to be very grateful that I was able to get It as easily as I did.","I have read many books on enlightenment and did not really understand until this book. This book is written in such a way that you easily ""get it"". Tolle is free of ego and seems full of compassion in his writings. This book has changed my life.",0.25
903,977,The book came in new condition at less than half the retail price. Good people!,I received the book in good condition and in a timely manner,0.25
170,342,"This book covers all topics you need to know for the exam in a compressed, but still relatively easy to comprehend way. (Of course it helps if you have some experience with VC++ 6). The pointers to what you should do / not do during the exam are to the point and helped me a lot. The sample questions are very much like the questions in the real exam. Actually in my case they were more difficult than the real questions asked! If you work your way through this book and manage to answer over 50-60% of the total correctly, you stand a good chance to pass the exam.It's definitely a book you should buy!","The Praxis Study guide for Music Content was a helpful source. I am taking the Praxis test tomorrow morning so we'll see if I actually pass or not. The practice test was shorter than the actual test and I have heard the questions on the practice test are much easier than on the actual exam. The book listed all of the topics that could be on the test, but the sheer amount was overwhelming and very little can be done to ""cram"" with this book. It does help some, and gives you a better understanding of what the test could be like.",0.24778761061946902
377,947,"I read this book three times, then I gave it to my husband to read. Not surprisingly, we both came to different conclusions as to the ending! It's a jewel that changes according to the light you hold it up to. It inspired me and uplifted me and most of all, caused me to THINK which is what I think the author had in mind. I will keep this book always and reread it every year. I highly recommend it to everyone.",I did not like this book at all until I reread the first few pages. I had to actually go back and read them over after putting the book down. I then read the whole hting in one sitting. I do not think everyone will like this book but I think if you can read it it is worth the read. My point is that although difficult to read it is worth the struggle.,0.24705882352941178
213,315,"I really love this book a lot because it's so easy for a non-artist student to learn collage easily. Each steps is clear and could be easy made.It's really a big help for me cause I always want to do my own collage but feel it's too hard to do. With the direction of this book, I feel that collage could be an interest, an exercise for relaxing. It's really a great one.","Excellent book the information is great, if you want a book to help you with information that you were not aware of, this is the book. I now know what I should do to start self-publishing my book and my daughter's books.",0.24615384615384617
