doc_i,doc_j,exact_jaccard,review_i,review_j
34274,69021,0.9849246231155779,"Where the Heart was very intertaining book. It let us understand the headaches people experience through out life. In this particular case, it showed a young woman having to manage herself as well as her unborn fetus. She tries to survive life and it's obstacles. After being left by her boyfriend she has to find shelter and care for her and her baby. Lucky for her she runs into alot of people who cares and help show her the way. This book show you that even though you go through many situations there are always a cause to everything that happens. The book tells us that you can still enjoy life with a child. That the world does not end just because you had bad faults.","Where the Heart is was very intertaining book. It let us understand the headaches people experience through out life. In this particular case, it showed a young woman having to manage herself as well as her unborn fetus. She tries to survive life and it's obstacles. After being left by her boyfriend she has to find shelter and care for her and her baby. Lucky for her she runs into alot of people who cares and help show her the way. This book show you that even though you go through many situations there are always a cause to everything that happens. The book tells us that you can still enjoy life with a child. That the world does not end just because you had bad faults."
3667,89921,0.9830028328611898,"The Hobbit is about a band of dwarves, a wizard, and a hobbit. A hobbit is a creature that is half the size of a man, and grows leather soles on it's feet. The band wanders to the Lone Mountian, where an evil dragon resides. On the way the hobbit, Bilbo, finds the Ring of Power, which allows him to turn invisable. When they get to the dragon's lair, Bilbo leads the dragon to a city and an archer slays the dragon. The Hobbit is a true action/fantisy.","The Hobbit is about a band of dwarves, a wizard, and a hobbit. A hobbit is a creature that is half the size of a man, and grows leather soles on it's feet. The band wanders to the Lone Mountian, where an evil dragon resides. On the way the hobbit, Bilbo, finds the Ring of Power, which allows him to turn invisable. When they get to the dragon's lair, Bilbo leads the dragon to a city and an archer slays the dragon. The Hobbit is a true action/fantasy."
12997,96435,0.9820224719101124,"This novel takes place during the ""Great Depression"" and gives a general view of the 1930's, but also follows the Joad family as they endure many struggles on their way to find work in California. Like thousands of other families, they encounter hunger, violence, and despair during these troubled years of our history.This was kind of a difficult book to get through, but if you want to learn about the affect the ""Great Depression"" had on everyday families and the struggles they encountered during this time, then you have found the right book.","This novel takes place during the ""Great Depression"" and gives a general view of the 1930's, but also follows the Joad family as they endure many struggles on their way to find work in California. Like thousands of other families, they encounter hunger, violence, and despair during these troubled years of our history. This was kind of a difficult book to get through, but if you want to learn about the affect the ""Great Depression"" had on everyday families and the struggles they encountered during this time, then you have found the right book"
15853,39773,0.9807073954983923,"I have several editions of Hobbit.This is just the perfect one, I was looking for introducing my young children to Tolkien. It is a FULLY illustrated editions, With almnost 140 pages of drawings at the style of a comic book but infinitly better done. Rich in color and detail, beautifull emotions on faces and well depicted places, perfect consistency with the book. More than that!!!. It has extracts from the book incredible well chosen, from a narrator point of view ,including dialogs mixed in such a way that there is almost no missing point treated in the original work, so text and reading is not lacking. I have not seen this kind of book in decades, It is one of the proudest books I have in my collection.","I have several editions of Hobbit.This is just the perfect one, I was looking for introducing my young children to Tolkien. It is a FULLY illustrated edition, With almost 140 pages of drawings at the style of a comic book but infinitly better done. Rich in color and detail, beautifull emotions on faces and well depicted places, perfect consistency with the book. More than that!!!. It has extracts from the book incredible well chosen, from a narrator point of view ,including dialogs mixed in such a way that there is almost no missing point treated in the original work, so text and reading is not lacking. I have not seen this kind of book in decades, It is one of the proudest books I have in my collection."
69835,88868,0.98046875,"In ""Hiroshima Diary,"" Dr. Michihiko Hachiya recounts his experience as both a victim of the atomic bomb and a first-responder of aid.Hachiya's account graphically depicts the confusing, terrible weeks that followed the atomic attack on Hiroshima. His matter-of -fact interpretation revels how little modern portrayals of the bombing compare with reality.The destruction wrought upon the Japanese people at Hiroshima is not to be underestimated, however, Hachiya bares facts that today seem unbelievable in light of the vast devastation.For all his suffering and all he has been witness to, Hachiya demonstrates little resentment towards the Americans who completely altered his way of life.A profound book that is both troubling in its imagery and beautiful in its language. No less poignant today than so many years ago.REVIEW EVERY BOOK YOU READ! AUTHORS DESERVE YOUR OPINIONS!","In ""Hiroshima Diary,"" Dr. Michihiko Hachiya recounts his experience as both a victim of the atomic bomb and a first-responder.Hachiya's account graphically depicts the confusing, terrible weeks that followed the atomic attack on Hiroshima. His matter-of -fact interpretation revels how little modern portrayals of the bombing compare with reality.The destruction wrought upon the Japanese people at Hiroshima is not to be underestimated, however, Hachiya bares facts that today seem unbelievable in light of the vast devastation.For all his suffering and all he has been witness to, Hachiya demonstrates little resentment towards the Americans who completely altered his way of life.A profound book that is both troubling in its imagery and beautiful in its language. No less poignant today than so many years ago.REVIEW EVERY BOOK YOU READ! AUTHORS DESERVE YOUR OPINIONS!"
53015,53814,0.9795081967213115,"This series hardly promises to be new or unique. Unlike others, I don't care that Jordan rips off Tolkien (trollocs, anyone?). Instead, I'm furious that he has stolen characters straight out of Eddings's Belgariad: the sturdy blacksmith with down-to-earth values, the haughty, blue-clad, imperious sorceress, the vagabond old man storyteller, and even a connection with wolves. The opening of the first novel, where Rand suspects some shadowy figure following him is also straight out of Pawn of Prophecy. Why hasn't Eddings sued this poser? Also, the boys vs. girls theme that Eddings began to take a little too far by the 8th book (in the Mallorean) is already overdone obnoxiously by the end of book 1. Surely we can find better authors that don't steal their ideas straight from better sources. Read Eddings and compare for yourself. Jordan is a thief.","This series hardly promises to be new or unique. Unlike others, I don't care that Jordan rips off Tolkien (trollocs, anyone?). Instead, I'm furious that he has stolen characters straight out of Eddings's Belgariad: the sturdy blacksmith with down-to-earth values, the haughty, blue-clad, imperious sorceress, the vagabond old man storyteller, and even a connection with wolves. The opening of the first book, where Rand suspects some shadowy figure following him is also straight out of Pawn of Prophecy. Why hasn't Eddings sued this poser? Also, the boys vs. girls theme that Eddings began to take a little too far by the 8th book (in the Mallorean) is already overdone obnoxiously by the end of book 1. Surely we can find better authors that don't steal their ideas straight from better sources. Read Eddings and compare for yourself. Jordan is a thief."
15522,37676,0.9792147806004619,"Because if you do, you won't be able to stop laughing. I made the serious, serious mistake of reading Boston's November 29, 1998 review before I read the book, and so when I finally did read it I noted every time ""drink,"" ""wine,"" ""bottle,"" ""bar,"" ""cafe,"" ""coffee,"" ""breakfast,"" ""lunch,"" ""dinner"" and their variations appeared, and son of a gun if they really weren't on almost every page. Every time I came across one of the words I'd start laughing, making it very difficult to concentrate on the book, which is mainly an extended low-level whine about how screwed up everyone was after the Great War.Seriously, Hemingway shows some flashes of brilliance, but ironically for me they didn't occur with style or even theme, but rather with extremely vivid, stripped down descriptions of the Spanish countryside and such activities as fishing and bullfighting. If you want to read the book for that, you're not going to be disappointed. But if you're expecting action and character development, por el amor de Dios, look elsewhere.","Because if you do, you won't be able to stop laughing. I made the serious, serious mistake of reading Boston's November 29, 1998 review before I read the book, and so when I finally did read the book I noted every time ""drink,"" ""wine,"" ""bottle,"" ""bar,"" ""cafe,"" ""coffee,"" ""breakfast,"" ""lunch,"" ""dinner"" and their variations appeared, and son of a gun if they really weren't on almost every page. Every time I came across one of the words I'd start laughing, making it very difficult to concentrate on the book, which is mainly an extended low level whine about how screwed up everyone was after the Great War.Seriously, Hemingway shows some flashes of brilliance, but ironically for me they didn't occur with style or even theme, but rather with extremely vivid, stripped down descriptions of the Spanish countryside and such activities as fishing and bullfighting. If you want to read the book for that, you're not going to be disappointed. But if you're expecting action and character development, por el amor de Dios, look elsewhere."
9943,46028,0.9771428571428571,"Read aloud, Abbotts' Shakespearean flare rings out with lovely sounds as wonderful to ears of a toddler at bedtime as it is to an adult with spirited imagination or any rebel who enjoys the venting of 'dangerous utterances'. An enchanting read at any age. I recommend it for younger readers so that they may have many years to re-read and grow with it.If you find a modern-day difficultly with Abbott's gender inequality (a clear challenge to some animators),consider that orthogonal planes do indeed look like lines to each other. ""When ... flat human is turned on his side, his personality is hidden inside the plane ... indistinguishable from others. Another human then turned to her side orthogonal to the first would then appear just a line. We...turn to adornment to reveal a contrived identity, whether true or deceitful. Instead, if we were to expand the dimensionality of our perception we could see inside both the male and female planes. "" (Peterson,Flatland Point: The DRUM & DRAW Navigations, 2009)","Read aloud, Abbotts' Shakespearean flare rings out with lovely sounds as wonderful to ears of a toddler at bedtime as to an adult with spirited imagination or any rebel who enjoys the venting of 'dangerous utterances'. An enchanting read at any age. I recommend it for younger readers so that they may have many years to re-read and grow with it.If you find a modern-day difficultly with Abbott's gender inequality (a clear challenge to some animators),consider that orthogonal planes do indeed look like lines to each other. ""When ... flat human is turned on his side, his personality is hidden inside the plane ... indistinguishable from others. Another human then turned to her side orthogonal to the first would then appear just a line. We...turn to adornment to reveal a contrived identity, whether true or deceitful. Instead, if we were to expand the dimensionality of our perception we could see inside both the male and female planes. "" (Peterson, Flatland Point: The DRUM & DRAW Navigations,Flatland Point: The DRUM & DRAW Navigations, 2009)"
15020,18036,0.9770408163265306,"What ""improvements"" have been made for the Black Dog & Leventhal edition? There are already major differences in punctuation, word choices, and scene breaks between the original Collins and Dodd Mead (FUNERALS ARE FATAL) editions of this novel. There are further differences between the Dodd Mead editions republished by Random House/Avenel and the Dodd Mead editions republished by Simon & Shuster/Pocket. There are further additions still in the Signet, Bantam, and Berkley editions. For every publishing house putting out her works, there seem to be a new batch of editors altering Agatha Christie's words and the sound of her voice. What's the matter with these publishers? Whose voice do they think we want to hear when we sit down to a novel by Agatha Christie? And what will she sound like twenty years from now? It's frightening that her estate has failed to see the importance of guarding her words as she wrote them. Please tell me I'm not the only one here who senses that a crime has been committed.","What ""improvements"" have been made for the Black Dog & Leventhal edition? There are already major differences in punctuation, word choices, and scene breaks between the original Collins and Dodd Mead editions of this novel. There are further differences between the Dodd Mead editions republished by Random House/Avenel and the Dodd Mead editions republished by Simon & Shuster/Pocket. There are further additions still in the Signet, Bantam, and Berkley editions. For every publishing house putting out her works, there seem to be a new batch of editors altering Agatha Christie's words and the sound of her voice. What's the matter with these publishers? Whose voice do they think we want to hear when we sit down to a novel by Agatha Christie? And what will she sound like twenty years from now? It's frightening that her estate has failed to see the importance of guarding her words as she wrote them. Please tell me I'm not the only one here who senses that a crime has been committed."
40005,77244,0.9767441860465116,"The Giver tells the reader the story of Jonas, who lives in a community, which seems to be a perfect world by having very strict rules. At his Ceremony of Twelve he is selected as a new Reciever of Memory"". That means that he gets to see things which the others in the community aren't able to see. Gradually, Jonas notices how the real world"" looks like.Our opinion:It's a good book for a school-book. The beginning is very boring, but page by page it gets more interesting. Especially the moments when Jonas gets the memories are written very well so that you can imagine these situations. After the first chapters, you don't want to stop reading the book. The book makes you thinking about our own society.We would recomment to read this book. :o)","The Giver tells the reader the story of Jonas, who lives in a community, which seems to be a perfect world by having very strict rules. At his Ceremony of Twelve he is selected as a new Reciever of Memory"". That means that he gets to see things which the others in the community aren't able to see. Gradually, Jonas notices what the real world"" looks like.Our opinion:It's a good book for a school-book. The beginning is very boring, but page by page it gets more interesting. Especially the moments when Jonas gets the memories are written very well so that you can imagine these situations. After the first chapters, you don't want to stop reading the book. The book makes you thinking about our own society.We would recomment to read this book! :o)"
25788,64611,0.9755201958384333,"Some of it was kind of b o r i n g, but in general I thought this was a good book on ways to understand the afterlife, and ghosts and such. There were some good stories, but too few. I would recommend (2) other books, ""Psychic Gifts in the Christian Life - Tools to Connect"" by Tiffany Snow, tells some things, and differences, about ""energy tracings"" ghosts, spirits, and ""fallen angels"" as well as some new things about how to try to see them, how to send them ""to the light"" (both ghosts and fallen angels/demons), along with a lot of unique and sometimes funny stories. Also, ""Ghosts at my Back Door - and in the Living Room!"" by Angela Watkins is a good book, although it may be out of print here in the US. This is mostly stories, but from a ghost hunter who has a lot of experiences, both frightening and funny, and also how to ""expel"" or ""exorcise"" them (so does Snow's book, a part on exorcism of dark spirits). Edward's book is OK, but it isn't the complete ""Bible"" on ghosts, hauntings, etc. It's good enough to add to your collection, though.","Some of it was kind of b o r i n g, but in general I thought this was a good book on ways to understand the afterlife, and ghosts and such. There were some good stories, but too few. I would recommend (2) other books, ""Psychic Gifts in the Christian Life - Tools to Connect"" by Tiffany Snow, tells some things, and differences, about ""energy tracings"" ghosts, spirits, and ""fallen angels"" as well as some new things about how to try to see them, how to send them ""to the light"" (both ghosts and fallen angels/demons), along with a lot of unique and sometimes funny stories. Also, ""Ghosts at my Back Door - and in the Living Room!"" by Angela Watkins is a good book, although it may be out of print here in the US. This is mostly stories, but from a ghost hunter who has a lot of experiences, both frightening and funny, and also how to ""expel"" or ""exorcise"" them (so does Snow's book, a part on exorcism of dark spirits). Sylvia's book is OK, but it isn't the complete ""Bible"" on ghosts, hauntings, etc. It's good enough to add to your collection, though."
21357,43715,0.974903474903475,"To Kill a Mockingbird is a historical fiction book written by Harper Lee in 1960. It takes place is 1930 Alabama. Harper Lee wrote this book from her memories of growing up in a small racest county.The book takes place through seven year old, tom-boy Scout's eyes. Scout lives with her twelve year old brother, Jem, her father, Atticus, and their house maid, Calpurnia. Through out the book, Scout tells her memories of a mysterious house in her neighborhood, a never before seen person, and racial injustice in Maycomb County.This book is an interesting memoriable, eye-opening book, great for middle and highschool students.","To Kill a Mockingbird is a historical fiction book written by Harper Lee in 1960. It takes place is 1930 Alabama. Harper Lee wrote this book from her memories of growing up in a small racest county.The book takes place through seven year old, tom-boy Scout's eyes. Scout lives with her twelve year old brother, Jem, her father, Atticus, and their house maid, Calpurnia. Through out the book, Scout tells her memories of a mysterious house in her neighborhood, a never before seen person, and racial injustice in Maycomb County.This book is an interesting memoriable, eye-opening book, great for middle and highschool students.-Shannon Elise"
51915,86970,0.9748322147651006,"Having read this well-written book many years ago and having thoroughly enjoyed it, I decided it was time to pay an old friend another visit and re-read it. Time has certainly not diminished the capacity of this book to entertain the reader.The talented author deftly weaves the gossamer threads of history with fiction, creating a tapestry that tells the reader of the tragic life of Theodosia, beloved daughter and only child of the notorious Aaron Burr. Written by a master storyteller, it is an enjoyable and poignant portrait of Theodosia. While her life was tragic in many respects, the book tells a compelling story of a young woman whose name would forever remain in the annals of history.","Having read this well-written book many years ago and having thoroughly enjoyed it, I decided it was time to pay an old friend another visit and re-read it. Time has certainly not diminished the capacity of this book to entertain the reader.The talented author deftly weaves the gossamer threads of history with fiction, creating a tapestry that tells the reader of the tragic life of Theodosia, beloved daughter and only child of the notorious Aaron Burr. Written by a master storyteller, it is an enjoyable and poignant portrait of Theodosia. While her life was tragic in many respects, the book tells a compelling story of a young woman whose name will forever remain in the annals of history."
647,75006,0.9740820734341252,"I received this used book in fairly good condition. The pages are a bit yellowed and some are dog eared, but none are falling out and the cover is still attached.I like this author and the theme of the white indian series. I have not checked on the veracity of the details given about native american indian culture nor the if some of the characters are actual historical figures or purely fiction, but it seems honest and is quite interseting; a good mix of drama, action, romance, and history. If you like historical fiction, give it a try.","I received this used book in fairly good condition. The pages are a bit yellowed and some are dog eared, but none are falling out and the cover is still attached.I like this author and the theme of the white indian series. I have not checked on the veracity of the details given about native american indian culture nor the if some of the characters are actual historical figures or purely fiction, but it seems honest and is quite interesting; a good mix of drama, action, romance, and history. If you like historical fiction, give it a try."
15959,34154,0.9731113956466069,"What ""improvements"" have been made for the ""Masterpiece"" edition? There are already major differences in punctuation, word choices, and scene breaks between the original Collins and Dodd Mead editions of this novel. There are further differences between the Dodd Mead editions republished by Random House/Avenel and the Dodd Mead editions republished by Simon & Shuster/Pocket. There are further additions still in the Signet, Bantam, Berkley, and Black Dog & Leventhal editions. For every publishing house putting out her works, there seem to be a new batch of editors altering Agatha Christie's words and the sound of her voice. What's the matter with these publishers? Whose voice do they think we want to hear when we sit down to a novel by Agatha Christie? And what will she sound like twenty years from now? It's frightening that her estate has failed to see the importance of guarding her words as she wrote them. Please tell me I'm not the only one here who senses that a crime has been committed.","What ""improvements"" have been made for the Signet edition? There are already major differences in punctuation, word choices, and scene breaks between the original Collins and Dodd Mead editions of this novel. There are further differences between the Dodd Mead editions republished by Random House/Avenel and the Dodd Mead editions republished by Simon & Shuster/Pocket. There are further additions still in the Bantam, Berkley, and Black Dog & Leventhal editions. For every publishing house putting out her works, there seem to be a new batch of editors altering Agatha Christie's words and the sound of her voice. What's the matter with these publishers? Whose voice do they think we want to hear when we sit down to a novel by Agatha Christie? And what will she sound like twenty years from now? It's frightening that her estate has failed to see the importance of guarding her words as she wrote them. Please tell me I'm not the only one here who senses that a crime has been committed."
